Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
<p><span class=""property-title""><span><strong>Facas de filé</strong> = 16°</span><br><span><strong>Facas de cozinha</strong> = 20°</span><br><span><strong>Facas de bolso</strong> = 20°</span><br><span><strong>Facas de caça</strong> = 22°</span><br><span><strong>Cutelo</strong> = 24°</span></span></p>",Viegaro,,Casa e Cozinha,"Afiador de facas, afiador de facas como usar, afiador de facas diamantado tramontina, afiador de facas e tesouras, afiador de facas eletrico, afiador de facas manual, afiador de facas mor, afiador de facas profissional, afiador de facas tramontina, afiador de facas zwilling, afiadores de facas, como usar o afiador de facas, melhor afiador de facas, melhor afiador de facas elétrico, qual o melhor afiador de facas profissional",true,Cor,Preto,,,,,"",500000.0,,0,deny,manual,44.11,72.81,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-de-facas-myvit-casa-e-cozinha-36502518038764.jpg?v=1646174583,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-de-facas-myvit-casa-e-cozinha-36502518038764.jpg?v=1646174583,g,,,active
afiador-de-facas-myvit,,,,,,,,,Preto c/ Vermelho,,,,,"",500000.0,,0,deny,manual,44.11,72.81,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-de-facas-myvit-casa-e-cozinha-36502497722604.jpg?v=1646174583,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-de-facas-myvit-casa-e-cozinha-36502497657068.jpg?v=1646174583,g,,,
afiador-de-facas-myvit,,,,,,,,,Cinza c/ Vermelho,,,,,"",500000.0,,0,deny,manual,44.11,72.81,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-de-facas-myvit-casa-e-cozinha-36502497657068.jpg?v=1646174583,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-de-facas-myvit-casa-e-cozinha-36502543532268.jpg?v=1646174583,g,,,
afiador-de-facas-myvit,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-afiador-de-facas-myvit-casa-e-cozinha-36502543532268.jpg?v=1646174583,4,,,,,,,,,,,,,,,,,,,,,,
abridor-de-potes,Abridor de Potes,"<h3 style=""text-align: left;"" data-mce-fragment=""1"" data-mce-style=""text-align: left;"">
<a href=""https://viegaro.com/collections/casa-e-cozinha/products/abridor-de-potes"" title=""Abridor de Potes""> <img style=""float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/1_f2e1b9f5-a106-4dc2-afcb-b937949429ee.png?v=1642801060"" data-mce-fragment=""1"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/1_f2e1b9f5-a106-4dc2-afcb-b937949429ee.png?v=1642801060"" data-mce-style=""float: none;""><img style=""float: none;"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/2_af2328ec-e23e-477d-9d8a-19e3ac86ab05.png?v=1642801072"" data-mce-fragment=""1"" data-mce-style=""float: none;"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/2_af2328ec-e23e-477d-9d8a-19e3ac86ab05.png?v=1642801072""><img style=""float: none;"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/3_2ef34a0d-7b2e-4dcf-b350-8eb142bd908e.png?v=1642801081"" data-mce-fragment=""1"" data-mce-style=""float: none;"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/3_2ef34a0d-7b2e-4dcf-b350-8eb142bd908e.png?v=1642801081""><img style=""float: none;"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/4_d23d77b7-641e-4bd2-90ed-e18be0144d24.png?v=1642801089"" data-mce-fragment=""1"" data-mce-style=""float: none;"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/4_d23d77b7-641e-4bd2-90ed-e18be0144d24.png?v=1642801089""></a>Especificações:</h3>
<ul>
<li class=""product-prop line-limit-length"">
<strong>Tipo:</strong> <span class=""property-desc line-limit-length"" title=""Abridores"">Abridor de Potes</span>
</li>
<li class=""product-prop line-limit-length"">
<span class=""property-title""><strong>Tipo de metal:</strong> </span><span class=""property-desc line-limit-length"" title=""STAINLESS STEEL"">Aço Inoxidável</span>
</li>
<li class=""product-prop line-limit-length""><span class=""property-desc line-limit-length"" title=""STAINLESS STEEL""><strong>Cor:</strong> Prata</span></li>
<li class=""product-prop line-limit-length""><span class=""property-desc line-limit-length"" title=""STAINLESS STEEL""><span><strong>Tamanho:</strong> 19.5x3.0x0.8cm</span></span></li>
<li class=""product-prop line-limit-length""><span class=""property-desc line-limit-length"" title=""STAINLESS STEEL""><span><strong>Peso líquido:</strong> 100.0g</span></span></li>
</ul>
<h3 style=""text-align: left;"" data-mce-fragment=""1"" data-mce-style=""text-align: left;"">Características:</h3>
<p style=""text-align: left;"" data-mce-fragment=""1"" data-mce-style=""text-align: left;""><strong>Alça humanizada: </strong><span>O abridor adota um design de alça humanizado, com aparência requintada, moagem suave e sensação confortável. <br></span><span><strong>Fácil de usar: </strong></span><span>Primeiro ajuste a parte frontal do abridor ao tamanho da tampa do pote e, em seguida, pressione a alça para abrir a tampa facilmente.</span><span><br></span><span><strong>Universal e ajustável: </strong>O<strong> </strong></span><span>mandril ajustável, apropriado para tampas de Potes com um diâmetro de 0.5-11.2cm.<br></span><span><strong>Durável: </strong>F</span><span>eito de material de aço inoxidável de alta qualidade, que é durável e resistente à corrosão.</span></p>",Viegaro,,Casa e Cozinha,"abridor de garrafa, abridor de potes automatico, abridor de potes de conserva, abridor de potes de vidro, abridor de potes e garrafas, abridor de potes eletrico, abridor de potes tupperware, abridor de tampa, abridor de tampa de vidro, abridor de tampas de potes de vidro, abridor de tampas e potes, abridor de tampas universal",true,Title,Default Title,,,,,"",500000.0,,0,deny,manual,36.01,,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-abridor-de-potes-36516832674028.jpg?v=1646174587,1,,false,,,,,,,,,,,,,,,,,g,,,active
abridor-de-potes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-abridor-de-potes-36516848926956.jpg?v=1646174587,2,,,,,,,,,,,,,,,,,,,,,,
abridor-de-potes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-abridor-de-potes-36516859740396.jpg?v=1646174587,3,,,,,,,,,,,,,,,,,,,,,,
abridor-de-potes,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-abridor-de-potes-36516873371884.jpg?v=1646174587,4,,,,,,,,,,,,,,,,,,,,,,
adaptador-hub-usb-e-usb-tipo-c-4-saidas-usb-3-0,Adaptador HUB USB e USB Tipo C - 4 Saídas USB 3.0,"<h3 style=""text-align: center;"" data-mce-style=""text-align: center;"">Aumente a capacidade de entradas USB do seu dispositivo com esse HUB!</h3>
<p>Se você sente necessidade de <strong>aumentar a capacidade</strong> de entradas em seu computador, notebook este HUB é recomendado para você! com sistema de <strong>plug'n'play</strong> sem necessidade de instalação de driver.</p>
<div style=""text-align: start;"" data-mce-style=""text-align: start;""><a href=""https://viegaro.com/products/adaptador-hub-usb-3-0-e-usb-tipo-c-para-computadores"" title=""Adaptador HUB USB e USB Tipo C para Computadores""><img style=""float: none;"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/Adaptador-usb-tipo-c-hub-3-0-3-1-4-portas-m-ltiplas-divisor-otg-para.jpg?v=1630539321"" alt=""Adaptador HUB USB e USB Tipo C para Computadores""></a></div>
<h3><span>BENEFÍCIOS:</span></h3>
<p><strong>Fácil expansão:</strong> com o hub USB 4 em 1, você pode facilmente conectar dispositivos como mouses, teclados, leitores de cartões, disco U, discos rígidos, ventoinha USB/umidificador, impressoras ao seu laptop ou computador de mesa. Com um total de 4 portas USB que podem ser usadas simultaneamente.</p>
<p><strong>Transferência de dados de alta velocidade:</strong> com uma velocidade de transmissão de até 5 Gbps (USB 3.0), rápido o suficiente para transferir rapidamente um filme de alta definição e um arquivo grande. Design de micro fonte de alimentação, que pode acionar discos rígidos de 4 TB quando você conecta.</p>
<h3><span>FICHA TÉCNICA: </span></h3>
<div>
<strong>Material:</strong> Liga de alumínio-magnésio<br><b>Tamanho do cabo:</b> 17cm</div>
<div><span><strong>Sistemas suportados:</strong> Windows 2000/2003/ME/XP/Vista/Win 7/8/10 ou Mac OS 8.1 ou superior.</span></div>
<div><span><br></span></div>
<h3><strong><span>INCLUSO NO PACOTE:</span></strong></h3>
<div data-spm-anchor-id=""a2g0o.detail.1000023.i3.2ca24a24WjPfop""><span>1 x tipo c/usb para 1usb 3.0 3 * hub usb 2.0</span></div>",Viegaro,,Diversos,"Acessórios, Diversos, Eletrônicos, HUB Usb",true,Cor,Prata,Cabo,USB,,,24486752,500000.0,,0,deny,manual,18.84,28.61,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-32333814792347.png?v=1646174592,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-diversos-32333841727643.png?v=1646174592,g,,,active
adaptador-hub-usb-e-usb-tipo-c-4-saidas-usb-3-0,,,,,,,,,Prata,,Tipo C,,,21158165,500000.0,,0,deny,manual,18.84,28.61,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-diversos-32333824327835.png?v=1646174592,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-diversos-32333824327835.png?v=1646174592,g,,,
adaptador-hub-usb-e-usb-tipo-c-4-saidas-usb-3-0,,,,,,,,,Cinza,,USB,,,27967681,500000.0,,0,deny,manual,18.84,28.61,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-diversos-32333841727643.png?v=1646174592,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-32333814792347.png?v=1646174592,g,,,
adaptador-hub-usb-e-usb-tipo-c-4-saidas-usb-3-0,,,,,,,,,Cinza,,Tipo C,,,23056221,500000.0,,0,deny,manual,18.84,28.61,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-diversos-32333814857883.png?v=1646174592,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-hub-usb-e-usb-tipo-c-para-computadores-diversos-32333814857883.png?v=1646174592,g,,,
almofada-para-banheira-de-hidromassagem,Almofada para Banheira de Hidromassagem,"<div class=""card__section"">
<div class=""rte text--pull"" style=""text-align: start;"">
<p style=""text-align: left;"">Obtenha a verdadeira experiência de spa de luxo em casa com esta <b>Almofada para Banheira.</b><br></p>
<p><span><meta charset=""utf-8"">Relaxe e descontraia após um dia estressante no trabalho. </span></p>
<p>Usando a Almofada o seu banho de hidromassagem ficará muito mais confortável. </p>
<p><a href=""https://viegaro.com/products/almofada-para-banheira-de-hidromassagem?_pos=1&amp;_sid=8cafdd5c1&amp;_ss=r"" title=""Almofada para Banheira de Hidromassagem""><img alt=""Almofada para Banheira de Hidromassagem"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/almofada-de-banheira-de-spa-product-proxima-oferta-6_1600x_fbbfa376-dad4-40cd-985e-c77592992e76_480x480.jpg?v=1618518485"" style=""margin-right: 28px; margin-left: 28px; float: none;"" width=""480x480"" height=""480x480""></a></p>
<p><strong>Principais Características:</strong></p>
<ul>
<li>Material respirável de malha acolchoada 3D</li>
<li>Com 6 ventosas para proporcionar uma aderência forte</li>
<li>A função elástica proporciona um bom suporte</li>
<li>Adequada para muitos formatos e tamanhos de banheira</li>
<li>Fácil de limpar e rápida para secar</li>
<li>Lavável na máquina</li>
</ul>
<p><a href=""https://viegaro.com/products/almofada-para-banheira-de-hidromassagem?_pos=1&amp;_sid=8cafdd5c1&amp;_ss=r"" title=""Almofada para Banheira de Hidromassagem""><img src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/almofada-de-banheira-de-spa-product-proxima-oferta-5_600x_954df452-79ff-4aee-af5e-d82505b4ef5c_480x480.jpg?v=1618518517"" alt=""Almofada para Banheira de Hidromassagem"" style=""margin-right: 28px; margin-left: 28px; float: none;"" data-mce-fragment=""1"" width=""480x480"" height=""480x480"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/almofada-de-banheira-de-spa-product-proxima-oferta-5_600x_954df452-79ff-4aee-af5e-d82505b4ef5c_480x480.jpg?v=1618518517""></a> </p>
<p><strong>Especificações:</strong></p>
<div class=""table-wrapper"">
<table width=""100%"" class=""table table-striped table-bordered same-width"">
<tbody>
<tr>
<td>Tamanho do Produto</td>
<td>Almofada inteira: 35 x 35 cm<br>Apoio da cabeça: 35 x 8 cm</td>
</tr>
<tr>
<td>Peso do Produto</td>
<td>410 g</td>
</tr>
<tr>
<td>Componentes do Pacote</td>
<td>1 x Almofada para Banheira </td>
</tr>
<tr>
<td>Cor do Produto</td>
<td>Branco</td>
</tr>
</tbody>
</table>
</div>
<!--amp.product-description.start--<p><strong>Descrição:</strong></p>
<p>Melhore o seu tempo de banho com o máximo conforto, usando esta Almofada de Banheira de Spa. Relaxe e descontraia após um dia estressante no trabalho. Obtenha a verdadeira experiência de spa de luxo em casa.</p>
<p>&nbsp;</p>
<p><strong>Principais Características:</strong></p>
<ul>
<li>Material respirável de malha acolchoada 3D</li>
<li>Com 6 ventosas para proporcionar uma aderência forte</li>
<li>A função elástica proporciona um bom suporte</li>
<li>Adequada para muitos formatos e tamanhos de banheira</li>
<li>Fácil de limpar e rápida para secar</li>
<li>Lavável na máquina</li>
</ul>
<p>&nbsp;</p>
<p><strong>Especificações:</strong></p>
<table class=""table table-striped table-bordered same-width"" width=""100%"">
<tbody>
<tr>
<td>Tamanho do Produto</td>
<td>Almofada inteira: 35 x 35 cm<br>Apoio da cabeça: 35 x 8 cm</td>
</tr>
<tr>
<td>Peso do Produto</td>
<td>410 g</td>
</tr>
<tr>
<td>Componentes do Pacote</td>
<td>1 x Almofada de Banheira de Spa</td>
</tr>
<tr>
<td>Cor do Produto</td>
<td>Branco</td>
</tr>
</tbody>
</table>--amp.product-description.end-->
</div>
</div>",Viegaro,,Casa e Cozinha,"Almofada Banheira de Hidromassagem, Almofada para Banheira, Almofada para Banheira de Hidromassagem, Almofada para Hidromassagem, Casa e Cozinha",true,Title,Default Title,,,,,29724073,500000.0,,0,deny,manual,52.54,58.40,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-almofada-para-banheira-de-hidromassagem-casa-e-cozinha-30671938945179.jpg?v=1646174596,1,,false,,,,,,,,,,,,,,,,,g,,,active
almofada-para-banheira-de-hidromassagem,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-almofada-para-banheira-de-hidromassagem-casa-e-cozinha-30671957262491.jpg?v=1646174596,2,,,,,,,,,,,,,,,,,,,,,,
almofada-para-banheira-de-hidromassagem,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-almofada-para-banheira-de-hidromassagem-casa-e-cozinha-30671961686171.jpg?v=1646174596,3,,,,,,,,,,,,,,,,,,,,,,
adaptador-bluetooth-usb-ugreen,Adaptador Bluetooth USB - uGreen,"<p style=""text-align: center;"" data-mce-style=""text-align: center;""><strong>Adaptador USB bluetooth 5.0</strong></p>
<p align=""center""><span>Receba e transmita música em tempo real através da tecnologia do Bluetooth 5.0.</span></p>
<p align=""center""><span><meta charset=""utf-8"">Conecte periféricos a seu PC com conexão responsiva e sem demora.</span> <a href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen"" title=""Adaptador Bluetooth USB - uGreen"" style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 1.4em;"" data-mce-href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/1-main-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227280"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/1-main-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227280""></a></p>
<p align=""center""><a href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen"" title=""Adaptador Bluetooth USB - uGreen"" data-mce-href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen""><span><img alt=""Adaptador Blueetoth USB - uGreen"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/2-main-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227318"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/2-main-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227318""></span></a></p>
<p align=""center""><a href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen"" title=""Adaptador Bluetooth USB - uGreen"" data-mce-href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen""><span><img alt=""Adaptador Blueetoth USB - uGreen"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/12-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227353"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/12-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227353""></span></a> </p>
<p align=""center""><span><a href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen"" title=""Adaptador Bluetooth USB - uGreen"" data-mce-href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen""><img alt=""Adaptador Blueetoth USB - uGreen"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/3-main-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227409"" style=""float: none;"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/3-main-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227409"" data-mce-style=""float: none;""><strong><i><img alt=""Adaptador Blueetoth USB - uGreen"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/10-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227437"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/10-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227437""></i></strong></a></span> <a href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen"" title=""Adaptador Bluetooth USB - uGreen"" data-mce-href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen""><strong><img alt=""Adaptador Blueetoth USB - uGreen"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/11-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227460"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/11-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227460""></strong></a></p>
<p align=""center""><span mce-data-marked=""1""><a title=""Adaptador Bluetooth USB - uGreen"" href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen""><img alt=""Adaptador Blueetoth USB - uGreen"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/13-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227480"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/13-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227480""></a> <a title=""Adaptador Bluetooth USB - uGreen"" href=""https://viegaro.com/products/adaptador-bluetooth-usb-ugreen""><img data-mce-fragment=""1"" src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/14-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227512"" alt=""Adaptador Blueetoth USB - uGreen"" data-mce-src=""https://cdn.shopify.com/s/files/1/0453/9770/4859/files/14-descript-ugreen-adaptador-dongle-usb-bluetooth-50-aptx-alto-falante-sem-fio-receptor-e-transmissor-de-musica.png?v=1631227512""></a></span></p>
<h3 style=""text-align: left;"" align=""center"" data-mce-style=""text-align: left;""><span>OBS:</span></h3>
<p style=""text-align: left;"" align=""center"" data-mce-style=""text-align: left;""><span>Apenas a versão do bluetooth 4.0 suporta o formato de decodificação aptx no sistema win 10, a versão bluetooth 5.0 não oferece suporte ao formato de decodificação aptx.</span></p>
<p> </p>
<h3 style=""text-align: start;"" data-mce-style=""text-align: start;"">ESPECIFICAÇÕES TÉCNICAS:<br>
</h3>
<strong>Nome da marca:</strong> UGREEN<br><strong>Modelo nº:</strong> US390<br><strong>Nome do produto:</strong> Adaptador Blueetoth USB - uGreen<br><strong>Versão Bluetooth:</strong> 5.0<br><strong>Chip:</strong> RTL8761BUV<br><strong>Distância de transmissão:</strong> 3OM (sem obstáculo)<br><strong>Protocolo compatível:</strong> A2DP. H2DP. HSP. AVRCP. HID<br><strong>Decodificação de áudio:</strong> SBC<br><strong>Peso líquido:</strong> 4g
<p style=""text-align: start;"" data-mce-style=""text-align: start;""><strong>Tamanho:</strong><span> 24mmx13,5mm</span></p>
<h3 style=""text-align: start;"" data-mce-style=""text-align: start;""><strong>INCLUSO NA CAIXA:</strong></h3>
<p style=""text-align: start;"" data-mce-style=""text-align: start;"">Adaptador Bluetooth USB - uGreen</p>",Viegaro,,Eletrônicos,"Acessórios, Adaptador, Adaptador Blueetoth USB - uGreen, Adaptador bluetooth, Eletrônicos, música, receptor, transmissor, uGreen, USB",true,Bluetooth,5.0,Cor,Preto,,,32065323,500000.0,,0,deny,manual,18.67,25.31,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-blueetoth-usb-ugreen-eletronicos-32437458993307.png?v=1646174601,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-blueetoth-usb-ugreen-eletronicos-32437474558107.png?v=1646174601,g,,,active
adaptador-bluetooth-usb-ugreen,,,,,,,,,4.0,,Preto,,,32065324,500000.0,,0,deny,manual,18.67,25.31,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-blueetoth-usb-ugreen-eletronicos-32437474558107.png?v=1646174601,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-blueetoth-usb-ugreen-eletronicos-32437478883483.png?v=1646174601,g,,,
adaptador-bluetooth-usb-ugreen,,,,,,,,,4.0,,Branco,,,32065325,500000.0,,0,deny,manual,18.67,25.31,true,true,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-blueetoth-usb-ugreen-eletronicos-32437478883483.png?v=1646174601,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-blueetoth-usb-ugreen-eletronicos-32437482553499.png?v=1646174601,g,,,
adaptador-bluetooth-usb-ugreen,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/1794/5654/products/viegaro-adaptador-blueetoth-usb-ugreen-eletronicos-32437482553499.png?v=1646174601,4,,,,,,,,,,,,,,,,,,,,,,
